date,pillar,newsapi_article_count,newsapi_share,nyt_share,wiki_share,wiki_views,newsapi_available,nyt_available,wiki_available,available_source_count,available_weight,newsapi_weight_used,nyt_weight_used,wiki_weight_used,newsapi_share_filled,nyt_share_filled,wiki_share_filled,composite_share_raw,composite_share,popularity_score
2024-12-17,Entertainment & Pop Culture,0,,0.1,0.5796715853660922,1778051,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.5796715853660922,0.27987684451228456,0.22633930537929975,22.633930537929974
2024-12-17,Lifestyle & Wellness,0,,0.1,0.049968995958064,153272,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.049968995958064,0.081238373484274,0.06569831475918196,6.569831475918196
2024-12-17,Politics & Civic Life,0,,0.6,0.1119007922820474,343238,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.6,0.1119007922820474,0.4169627971057678,0.33720213628386464,33.72021362838646
2024-12-17,Science & Technology,0,,,0.1315399456597927,403478,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.1315399456597927,0.1315399456597927,0.10637771760700808,10.637771760700808
2024-12-17,Sports & Athletics,0,,,0.1269186807340035,389303,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.1269186807340035,0.1269186807340035,0.10264045275717897,10.264045275717896
2024-12-18,Business & Finance,0,,0.2,0.0242846226637226,65595,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.2,0.0242846226637226,0.13410673349889599,0.12410129270814861,12.410129270814862
2024-12-18,Entertainment & Pop Culture,0,,0.1,0.5831904281675707,1575251,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.5831904281675707,0.28119641056283895,0.260216896983975,26.0216896983975
2024-12-18,Lifestyle & Wellness,0,,0.1,0.0567951776540747,153409,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.0567951776540747,0.08379819162027802,0.0775461726294844,7.7546172629484404
2024-12-18,Politics & Civic Life,0,,0.4,0.0783083286315312,211518,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.4,0.0783083286315312,0.2793656232368242,0.258522701115473,25.8522701115473
2024-12-18,Science & Technology,0,,0.2,0.1284243557790701,346886,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.2,0.1284243557790701,0.17315913341715128,0.16024006953735961,16.024006953735963
